canonical_title,authors,year,primary_key,official_course_relevance,source_url,arxiv_abs_url,arxiv_eprint_url,official_pdf_url,local_folder,merged_tex_path,status
Gopher,DeepMind,,gopher,2026 evaluation,https://arxiv.org/pdf/2112.11446.pdf,https://arxiv.org/abs/2112.11446,https://arxiv.org/e-print/2112.11446,https://arxiv.org/e-print/2112.11446,papers/normalized/gopher,papers/merged_tex/gopher.tex,tex_source
GPT4,OpenAI,,gpt4,2026 evaluation,https://arxiv.org/pdf/2303.08774.pdf,https://arxiv.org/abs/2303.08774,https://arxiv.org/e-print/2303.08774,https://arxiv.org/e-print/2303.08774,papers/normalized/gpt4,papers/merged_tex/gpt4.tex,tex_source
Lima,,,lima,2026 evaluation,https://arxiv.org/pdf/2305.11206.pdf,https://arxiv.org/abs/2305.11206,https://arxiv.org/e-print/2305.11206,https://arxiv.org/e-print/2305.11206,papers/normalized/lima,papers/merged_tex/lima.tex,tex_source
Mmlu,Berkeley,,mmlu,2026 evaluation,https://arxiv.org/pdf/2009.03300.pdf,https://arxiv.org/abs/2009.03300,https://arxiv.org/e-print/2009.03300,https://arxiv.org/e-print/2009.03300,papers/normalized/mmlu,papers/merged_tex/mmlu.tex,tex_source
A Neural Probabilistic Language Model,,2003,bengio2003,2026 general,https://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf,,,,papers/normalized/a_neural_probabilistic_language_model,,pdf_only
Bert,,,bert,2026 general,https://arxiv.org/abs/1810.04805,https://arxiv.org/abs/1810.04805,https://arxiv.org/e-print/1810.04805,https://arxiv.org/e-print/1810.04805,papers/normalized/bert,papers/merged_tex/bert.tex,tex_source
Elmo,,,elmo,2026 general,https://arxiv.org/abs/1802.05365,https://arxiv.org/abs/1802.05365,https://arxiv.org/e-print/1802.05365,https://arxiv.org/e-print/1802.05365,papers/normalized/elmo,papers/merged_tex/elmo.tex,tex_source
Gdn,,,gdn_2024,2026 general,https://arxiv.org/abs/2412.06464,https://arxiv.org/abs/2412.06464,https://arxiv.org/e-print/2412.06464,https://arxiv.org/e-print/2412.06464,papers/normalized/gdn,papers/merged_tex/gdn.tex,tex_source
Language Models in Machine Translation,Google,2007,brants2007,2026 general,https://aclanthology.org/D07-1090.pdf,,,,papers/normalized/language_models_in_machine_translation,,pdf_only
MTP,,,mtp_2024,2026 general,https://arxiv.org/abs/2404.19737,https://arxiv.org/abs/2404.19737,https://arxiv.org/e-print/2404.19737,https://arxiv.org/e-print/2404.19737,papers/normalized/mtp,papers/merged_tex/mtp.tex,tex_source
Olmix,,,olmix_2026,2026 general,https://arxiv.org/abs/2602.12237,https://arxiv.org/abs/2602.12237,https://arxiv.org/e-print/2602.12237,https://arxiv.org/e-print/2602.12237,papers/normalized/olmix,papers/merged_tex/olmix.tex,tex_source
Pre Post Norm,,,pre_post_norm_2020,2026 general,https://arxiv.org/pdf/2002.04745.pdf,https://arxiv.org/abs/2002.04745,https://arxiv.org/e-print/2002.04745,https://arxiv.org/e-print/2002.04745,papers/normalized/pre_post_norm,papers/merged_tex/pre_post_norm.tex,tex_source
Shazeer,Google,,shazeer_2020,2026 general,https://arxiv.org/pdf/2002.05202.pdf,https://arxiv.org/abs/2002.05202,https://arxiv.org/e-print/2002.05202,https://arxiv.org/e-print/2002.05202,papers/normalized/shazeer,papers/merged_tex/shazeer.tex,tex_source
SMOLLM2,,,smollm2,2026 general,https://arxiv.org/pdf/2502.02737.pdf,https://arxiv.org/abs/2502.02737,https://arxiv.org/e-print/2502.02737,https://arxiv.org/e-print/2502.02737,papers/normalized/smollm2,papers/merged_tex/smollm2.tex,tex_source
Tfree,,,tfree,2026 general,https://arxiv.org/abs/2406.19223,https://arxiv.org/abs/2406.19223,https://arxiv.org/e-print/2406.19223,https://arxiv.org/e-print/2406.19223,papers/normalized/tfree,papers/merged_tex/tfree.tex,tex_source
[Marin 32B retro],Marin,2025,marin_32b_2025,2026 model-recipes-open-models,https://marin.readthedocs.io/en/latest/reports/marin-32b-retro/,,,,papers/normalized/[marin_32b_retro],,pdf_only
[Marin 8B retro],Marin,2025,marin_8b_2025,2026 model-recipes-open-models,https://marin.readthedocs.io/en/latest/reports/marin-8b-retro/,,,,papers/normalized/[marin_8b_retro],,pdf_only
